age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
33;services;1;secondary;0;4789;1;1;cellular;11;may;220;1;339;4;failure;0
35;management;0;tertiary;0;1350;1;0;cellular;16;apr;185;1;330;1;failure;0
35;management;0;tertiary;0;747;0;0;cellular;23;feb;141;2;176;3;failure;0
36;self-employed;1;tertiary;0;307;1;0;cellular;14;may;341;1;330;2;other;0
43;services;1;primary;0;-88;1;1;cellular;17;apr;313;1;147;2;failure;0
31;blue-collar;1;secondary;0;360;1;1;cellular;29;jan;89;1;241;1;failure;0
37;admin.;0;tertiary;0;2317;1;0;cellular;20;apr;114;1;152;2;failure;0
31;services;1;secondary;0;132;0;0;cellular;7;jul;148;1;152;1;other;0
33;management;1;secondary;0;3935;1;0;cellular;6;may;765;1;342;2;failure;1
55;blue-collar;1;primary;0;145;0;0;telephone;2;feb;59;3;5;2;other;0
34;technician;1;tertiary;0;1539;1;0;cellular;15;jun;441;1;56;1;other;1
51;blue-collar;2;secondary;0;203;1;0;cellular;8;may;134;1;170;5;failure;0
37;management;1;tertiary;0;0;0;0;cellular;16;jul;268;2;182;3;success;1
41;blue-collar;2;secondary;0;174;1;0;cellular;14;may;367;2;297;1;other;0
40;unemployed;1;secondary;0;219;1;0;cellular;17;nov;204;2;196;1;failure;0
52;services;1;secondary;0;657;0;0;telephone;7;jul;398;2;460;2;failure;1
30;admin.;0;tertiary;0;261;0;0;cellular;19;oct;233;1;137;20;failure;0
36;blue-collar;2;secondary;0;2843;0;0;cellular;12;feb;473;1;182;1;success;0
38;management;0;tertiary;0;493;1;0;cellular;11;may;553;1;367;7;failure;0
32;management;0;tertiary;0;574;1;0;cellular;14;apr;259;2;145;3;failure;0
21;student;0;secondary;0;2488;0;0;cellular;30;jun;258;6;169;3;success;1
33;blue-collar;0;secondary;0;22;0;0;cellular;30;jan;76;2;207;1;failure;0
51;management;0;tertiary;1;-55;1;0;cellular;11;may;281;2;266;6;failure;0
32;blue-collar;0;secondary;0;228;0;0;telephone;5;feb;176;1;288;3;failure;0
29;admin.;0;secondary;0;428;1;1;cellular;7;may;54;1;345;2;failure;0
46;admin.;1;secondary;0;179;1;0;cellular;29;jan;194;4;436;1;other;0
55;admin.;1;secondary;0;602;0;0;cellular;1;jun;324;3;90;2;success;1
55;technician;1;secondary;0;273;1;0;cellular;29;jan;84;3;183;3;failure;0
28;management;0;tertiary;0;80;0;0;cellular;20;oct;676;2;146;2;failure;1
40;admin.;0;secondary;0;462;1;1;cellular;6;apr;272;1;335;4;other;0
37;admin.;1;secondary;0;176;1;0;cellular;5;may;147;2;347;1;failure;0
37;admin.;1;tertiary;0;0;1;0;cellular;17;nov;65;2;119;1;failure;0
34;admin.;1;tertiary;0;899;1;0;telephone;19;nov;377;3;7;4;success;0
37;services;0;secondary;0;21;1;0;cellular;2;feb;96;1;271;2;other;0
36;technician;1;secondary;0;23;1;0;cellular;8;may;152;2;347;1;failure;0
75;retired;1;secondary;0;3771;0;0;telephone;15;apr;185;1;181;2;success;1
34;technician;0;tertiary;0;992;1;0;cellular;4;may;301;1;88;2;success;0
35;technician;0;tertiary;0;2658;1;0;cellular;19;aug;768;2;141;3;failure;1
39;management;2;tertiary;0;1315;1;0;cellular;19;nov;1337;4;126;1;failure;0
29;technician;1;secondary;0;1599;1;0;cellular;8;jul;115;1;61;1;failure;0
38;services;0;secondary;0;-196;1;0;cellular;2;feb;60;1;271;1;failure;0
38;technician;1;tertiary;0;432;1;0;cellular;15;may;10;2;373;1;other;0
30;blue-collar;1;secondary;0;975;1;0;cellular;13;may;256;2;351;2;failure;0
33;technician;1;secondary;0;359;1;0;cellular;20;apr;210;1;242;1;other;0
35;technician;1;tertiary;0;0;1;1;cellular;23;sep;112;1;62;6;other;0
44;technician;0;secondary;0;33;1;0;cellular;13;may;195;3;351;10;failure;0
45;blue-collar;0;secondary;0;0;1;0;cellular;26;jul;768;2;91;5;success;0
33;blue-collar;1;secondary;0;3576;1;0;cellular;2;apr;124;1;308;2;other;0
36;management;1;tertiary;0;0;1;0;cellular;28;jan;60;1;250;1;other;0
43;technician;1;secondary;0;0;0;1;cellular;8;may;9;2;172;5;failure;0
58;retired;1;primary;0;3401;1;0;cellular;3;feb;84;3;265;2;failure;0
58;technician;1;tertiary;0;883;0;0;cellular;18;aug;543;1;78;2;failure;0
40;services;1;secondary;0;0;1;0;cellular;2;jun;297;1;28;3;failure;0
35;housemaid;1;tertiary;0;11219;0;0;cellular;12;aug;699;2;79;1;failure;0
34;admin.;1;tertiary;0;69;0;1;cellular;4;aug;120;3;1;6;success;1
65;retired;2;primary;0;1840;0;0;cellular;1;jun;383;2;188;5;failure;0
49;blue-collar;1;secondary;0;8545;1;1;cellular;6;may;199;7;167;1;failure;0
25;admin.;0;tertiary;0;760;1;0;cellular;27;may;223;3;89;2;failure;1
35;entrepreneur;1;secondary;0;2971;0;0;cellular;4;may;429;4;164;2;failure;1
38;management;1;tertiary;0;1199;0;0;cellular;4;aug;178;1;1;1;success;1
33;technician;1;secondary;0;6699;0;0;cellular;9;nov;425;1;462;1;failure;0
35;unemployed;1;secondary;0;978;0;0;cellular;29;dec;1370;3;209;3;success;1
29;technician;0;tertiary;0;828;1;0;cellular;16;apr;215;3;321;3;other;0
33;management;0;tertiary;0;1410;1;0;cellular;5;feb;8;1;254;5;failure;0
63;retired;1;primary;0;1084;0;0;cellular;14;oct;201;1;183;1;success;0
41;management;1;tertiary;0;832;1;1;cellular;21;nov;164;1;176;1;failure;0
36;blue-collar;0;secondary;0;219;1;1;cellular;11;may;270;2;347;1;failure;0
55;management;1;primary;0;2587;0;0;cellular;4;sep;328;2;94;2;success;1
47;self-employed;1;tertiary;0;2303;1;0;cellular;6;may;323;2;364;1;failure;0
50;management;1;tertiary;0;4;0;0;cellular;17;nov;223;1;96;2;failure;0
29;management;1;tertiary;0;318;1;0;cellular;18;may;1434;2;356;4;failure;0
32;management;0;tertiary;0;8436;1;0;cellular;17;apr;245;1;149;2;failure;0
30;entrepreneur;1;secondary;0;946;1;0;cellular;19;nov;1065;1;183;1;other;0
42;admin.;1;secondary;0;-396;1;0;cellular;11;may;80;1;308;4;failure;0
30;services;0;secondary;0;0;1;0;cellular;18;may;131;6;363;9;failure;0
37;management;1;tertiary;0;393;1;0;cellular;14;may;567;3;275;4;failure;1
39;blue-collar;1;secondary;0;0;1;0;cellular;30;apr;53;1;325;1;failure;0
37;services;1;secondary;0;1328;1;0;telephone;13;may;121;2;341;4;failure;0
33;management;0;tertiary;0;1240;1;0;cellular;4;feb;505;2;260;1;other;0
33;blue-collar;1;secondary;0;43;1;0;cellular;14;may;332;2;358;2;failure;0
37;technician;0;tertiary;0;6101;0;0;cellular;4;may;60;5;87;1;success;0
44;management;1;secondary;0;438;1;0;telephone;8;may;37;3;303;1;failure;0
54;admin.;1;secondary;0;0;0;0;cellular;28;jan;161;1;98;2;failure;1
75;retired;2;tertiary;0;3810;1;0;cellular;16;nov;262;1;183;1;failure;1
37;management;1;tertiary;0;502;1;0;cellular;7;may;551;1;351;1;failure;0
37;management;0;tertiary;0;876;1;0;cellular;15;apr;140;4;327;2;failure;0
43;blue-collar;1;secondary;0;130;0;0;cellular;5;may;156;1;337;3;failure;0
27;admin.;0;secondary;0;619;1;0;cellular;20;apr;16;5;322;4;other;0
43;management;2;tertiary;0;36;0;0;cellular;26;may;118;1;102;2;failure;0
32;blue-collar;1;secondary;0;889;1;0;cellular;10;sep;185;1;99;5;success;1
59;housemaid;1;secondary;0;0;0;0;telephone;3;feb;722;1;99;4;failure;0
77;retired;1;tertiary;0;7802;0;0;telephone;4;may;421;1;92;2;success;1
40;technician;1;secondary;0;694;1;0;cellular;4;feb;97;4;196;5;failure;0
53;admin.;1;secondary;0;1796;0;0;telephone;16;mar;295;1;91;2;success;1
50;housemaid;1;secondary;0;7317;1;0;cellular;13;may;172;1;370;1;failure;0
32;management;0;tertiary;0;12607;0;0;cellular;14;aug;203;5;84;1;failure;0
38;blue-collar;1;secondary;0;121;1;1;cellular;6;feb;168;1;212;2;failure;0
52;technician;1;secondary;0;195;1;0;cellular;18;feb;220;1;63;5;failure;1
45;unemployed;2;primary;0;757;0;0;cellular;20;apr;103;1;325;4;failure;0
34;management;1;tertiary;0;902;1;0;cellular;14;may;159;1;367;2;other;0
61;retired;1;secondary;0;5207;0;0;cellular;11;sep;336;1;81;2;other;0
43;admin.;2;secondary;0;738;1;0;cellular;21;nov;585;4;191;4;failure;0
43;services;1;primary;0;2567;1;0;cellular;14;may;109;1;360;2;failure;0
47;admin.;0;secondary;0;3696;0;0;cellular;12;jul;250;2;181;4;success;1
34;technician;1;secondary;0;-228;1;0;cellular;20;apr;187;3;332;3;other;0
63;retired;1;secondary;0;2747;0;0;cellular;11;sep;113;1;80;1;failure;0
37;admin.;1;secondary;0;1314;1;0;cellular;8;may;682;2;85;7;success;0
50;technician;1;secondary;0;2497;1;0;cellular;21;nov;35;1;176;1;failure;0
40;technician;1;secondary;0;56;1;1;cellular;29;jan;194;1;247;1;failure;0
53;management;1;tertiary;0;1319;1;0;cellular;16;apr;427;1;150;1;failure;0
49;blue-collar;1;secondary;0;171;0;0;cellular;4;feb;19;3;175;2;other;0
33;technician;0;tertiary;0;696;0;1;cellular;5;feb;193;1;176;8;failure;0
47;housemaid;1;primary;0;201;1;0;cellular;7;aug;58;2;382;1;failure;0
50;blue-collar;1;primary;0;12519;1;0;cellular;17;apr;146;2;147;4;success;0
39;technician;1;tertiary;0;1161;1;0;cellular;9;apr;236;1;336;1;failure;0
35;technician;1;tertiary;0;7050;0;0;cellular;11;aug;222;3;182;4;success;1
40;management;0;tertiary;0;1509;0;0;cellular;12;may;333;1;58;3;failure;0
59;management;1;tertiary;0;2764;0;0;cellular;24;dec;237;1;206;2;failure;0
33;technician;1;tertiary;0;8023;0;0;cellular;30;nov;107;1;105;3;failure;0
46;management;2;tertiary;0;6269;1;0;telephone;18;nov;249;3;112;2;failure;0
60;management;1;primary;0;252;1;1;cellular;13;apr;123;2;147;3;failure;0
33;housemaid;0;tertiary;0;23663;1;0;cellular;16;apr;199;2;146;2;failure;0
27;entrepreneur;0;tertiary;0;81;0;0;cellular;5;feb;197;1;199;3;failure;0
64;retired;1;primary;0;43;0;0;cellular;11;mar;117;1;91;1;success;0
47;technician;1;secondary;0;57;0;0;cellular;5;may;253;1;342;1;success;0
36;technician;2;secondary;0;666;1;1;cellular;3;apr;190;1;133;1;other;0
53;entrepreneur;1;primary;0;1034;1;0;cellular;19;nov;854;2;170;3;other;0
54;technician;1;secondary;0;0;0;0;telephone;16;nov;986;1;94;8;failure;0
55;management;1;primary;0;621;0;1;cellular;2;feb;114;1;208;1;failure;0
44;technician;1;secondary;0;310;1;0;cellular;6;feb;200;1;253;1;failure;0
37;technician;1;secondary;0;64;1;0;cellular;12;may;239;4;278;2;other;0
28;services;0;secondary;0;168;0;0;cellular;1;jun;347;3;140;2;success;1
46;services;1;secondary;0;1550;1;0;cellular;16;apr;126;2;149;8;failure;0
35;entrepreneur;1;tertiary;0;0;0;0;cellular;5;may;74;1;168;4;failure;0
25;student;0;secondary;0;1790;0;0;cellular;17;apr;224;1;322;3;failure;0
40;blue-collar;1;secondary;0;498;1;0;cellular;8;may;55;2;298;4;failure;0
26;technician;0;secondary;0;455;0;0;cellular;29;jan;240;1;182;8;other;0
31;management;1;tertiary;0;1010;1;0;cellular;15;may;385;3;364;9;other;0
48;blue-collar;1;primary;0;1092;0;1;cellular;18;nov;79;1;172;8;failure;0
36;technician;0;secondary;0;1855;1;0;cellular;4;feb;75;1;273;1;failure;0
46;services;1;secondary;0;0;1;0;cellular;22;jun;154;1;124;1;other;0
28;services;1;secondary;0;0;1;0;cellular;5;may;335;2;281;8;failure;0
37;management;2;secondary;0;414;0;0;cellular;29;jan;293;2;162;4;failure;0
52;management;1;tertiary;0;1944;1;0;cellular;15;apr;238;3;323;2;failure;0
28;technician;0;secondary;0;3;0;0;telephone;18;may;40;8;349;6;failure;0
50;management;1;tertiary;0;2881;0;0;cellular;5;aug;510;2;2;5;other;0
30;blue-collar;0;secondary;0;445;1;0;cellular;16;apr;218;1;330;2;failure;0
40;management;1;secondary;0;643;1;0;cellular;17;apr;74;2;256;1;failure;0
40;management;1;tertiary;0;-1212;1;0;cellular;15;may;1259;2;333;18;failure;0
41;technician;1;secondary;0;2125;1;1;cellular;21;nov;285;3;116;4;failure;0
32;technician;0;secondary;0;271;1;0;cellular;13;may;80;2;268;2;other;0
47;technician;1;secondary;0;-75;1;0;cellular;4;feb;57;1;247;1;other;0
27;services;1;secondary;0;58;1;0;cellular;7;may;113;1;337;2;other;0
31;management;0;tertiary;0;112;1;0;cellular;2;feb;159;2;271;1;failure;0
40;self-employed;1;tertiary;0;13669;0;0;cellular;15;oct;138;1;136;8;other;0
43;management;1;tertiary;0;1429;1;0;cellular;19;nov;1015;1;198;2;other;1
47;unemployed;1;primary;0;168;1;0;telephone;30;jan;66;1;241;1;other;0
39;services;0;secondary;0;7066;1;0;cellular;15;may;667;3;357;3;other;1
59;management;0;secondary;0;671;1;1;cellular;29;jan;219;2;259;5;failure;0
55;housemaid;2;primary;0;976;0;0;cellular;28;jun;345;1;94;3;other;1
46;management;2;tertiary;0;624;0;0;cellular;17;sep;336;2;183;2;success;1
36;blue-collar;1;secondary;0;-461;0;0;cellular;11;may;254;2;353;1;failure;0
34;technician;0;tertiary;0;144;1;1;cellular;14;oct;104;1;85;19;failure;0
56;technician;1;secondary;0;150;1;1;cellular;11;may;102;6;349;1;failure;0
38;management;0;tertiary;0;15030;1;0;cellular;13;may;167;1;174;7;other;0
26;admin.;0;secondary;0;255;0;0;cellular;30;apr;457;1;80;1;success;1
31;technician;0;secondary;0;102;1;0;telephone;17;apr;460;2;345;2;failure;0
45;entrepreneur;1;primary;0;58;1;0;telephone;13;may;119;3;371;3;failure;0
28;management;0;tertiary;0;882;0;1;cellular;29;jan;94;1;205;2;failure;0
27;student;0;tertiary;0;5291;0;0;cellular;12;nov;192;2;92;2;failure;1
49;management;0;secondary;0;61;1;0;cellular;29;jan;185;2;246;1;failure;0
30;technician;0;tertiary;0;3;1;0;cellular;6;may;45;2;169;2;failure;0
34;admin.;1;tertiary;0;35;1;0;cellular;15;oct;76;1;69;2;failure;0
31;blue-collar;1;primary;0;99;1;0;cellular;17;apr;193;2;322;1;other;0
41;management;1;tertiary;0;-29;0;0;cellular;29;jan;41;2;266;2;failure;0
38;admin.;1;primary;0;3913;1;0;cellular;20;apr;196;2;315;2;failure;0
34;management;1;tertiary;0;0;1;0;cellular;7;aug;262;1;99;2;success;1
36;management;1;tertiary;0;222;1;0;cellular;6;may;317;1;169;2;failure;0
27;unemployed;0;secondary;0;3276;0;0;cellular;5;aug;106;1;110;2;other;0
52;technician;1;secondary;0;196;1;1;cellular;24;feb;116;1;273;3;failure;0
35;blue-collar;1;secondary;0;6411;1;1;cellular;30;jan;144;1;266;2;failure;0
58;self-employed;1;primary;0;1013;1;0;cellular;11;aug;206;1;461;1;failure;1
37;technician;0;secondary;0;5436;1;0;cellular;6;may;7;11;351;1;failure;0
59;self-employed;1;tertiary;0;2013;0;0;cellular;19;feb;222;4;94;2;success;1
34;management;0;tertiary;0;673;1;1;cellular;20;nov;271;1;184;1;failure;0
20;student;0;secondary;0;291;0;0;telephone;11;may;172;5;371;5;failure;0
42;technician;1;secondary;0;994;1;0;cellular;11;aug;149;1;78;5;failure;1
38;management;1;tertiary;0;-70;1;0;cellular;30;jan;140;1;2;3;other;0
55;blue-collar;2;secondary;0;1613;1;0;cellular;3;apr;296;1;270;3;failure;1
30;admin.;0;secondary;0;81;1;0;cellular;6;aug;121;6;112;3;other;0
34;services;1;secondary;0;1337;0;0;cellular;17;dec;330;2;127;3;success;1
63;entrepreneur;1;secondary;0;3904;0;0;telephone;4;aug;250;2;187;2;success;1
48;management;1;tertiary;0;1147;0;0;cellular;5;aug;389;1;64;2;success;1
38;blue-collar;1;secondary;0;0;1;0;cellular;13;may;57;5;349;1;other;0
30;management;0;tertiary;0;726;1;0;cellular;16;apr;39;1;342;3;failure;0
54;unknown;1;secondary;0;2206;0;0;cellular;12;nov;104;1;99;2;other;1
38;admin.;1;tertiary;0;1988;0;0;cellular;27;mar;164;2;130;2;failure;1
64;housemaid;1;primary;0;768;0;0;cellular;15;jul;250;2;182;1;success;0
46;technician;1;tertiary;0;217;1;0;cellular;14;may;141;1;346;2;other;0
45;management;2;tertiary;0;2096;0;0;cellular;21;nov;127;1;100;2;failure;0
59;management;1;tertiary;0;1831;0;0;cellular;17;feb;122;1;92;1;failure;0
37;blue-collar;0;primary;0;851;1;0;cellular;15;may;151;1;352;1;failure;0
43;management;0;tertiary;0;146;0;0;cellular;21;nov;50;1;113;5;other;0
59;technician;1;secondary;0;1;0;0;cellular;15;apr;159;2;378;3;failure;1
37;technician;1;secondary;0;480;0;0;cellular;22;oct;344;2;182;8;other;1
35;technician;1;secondary;0;2789;1;0;cellular;4;sep;256;2;94;1;failure;0
42;technician;0;tertiary;0;-411;1;0;cellular;12;may;78;5;292;3;failure;0
32;technician;1;tertiary;0;4089;0;0;cellular;26;may;114;7;287;3;failure;0
36;management;0;tertiary;0;243;1;0;cellular;7;may;160;2;360;3;failure;0
36;services;0;secondary;0;1482;1;0;cellular;18;nov;177;2;174;1;other;0
47;admin.;1;secondary;0;1934;0;1;cellular;14;may;225;1;364;1;failure;0
31;management;0;tertiary;0;62;1;0;cellular;18;may;175;1;293;5;failure;0
35;unemployed;1;secondary;0;977;1;0;cellular;4;may;52;4;91;1;other;0
32;technician;0;tertiary;0;5514;0;0;cellular;22;apr;319;1;182;1;success;1
34;technician;0;secondary;0;2729;1;0;cellular;6;apr;945;1;139;1;success;0
50;management;1;tertiary;0;-470;1;0;cellular;8;may;506;2;170;3;failure;0
34;services;1;secondary;0;1076;0;0;cellular;12;may;152;1;182;6;success;1
71;technician;1;tertiary;0;383;0;0;cellular;27;oct;327;2;183;3;success;0
33;blue-collar;0;secondary;0;706;1;0;cellular;7;apr;329;1;322;1;failure;0
36;management;1;secondary;0;1825;1;0;cellular;14;may;24;1;346;1;failure;0
59;self-employed;1;tertiary;0;185;0;0;cellular;22;jun;177;5;138;1;failure;0
58;retired;0;secondary;0;1640;0;1;cellular;4;feb;72;6;274;4;failure;0
60;admin.;2;secondary;0;174;1;0;cellular;15;may;241;1;364;1;failure;0
36;management;0;tertiary;0;490;0;0;cellular;28;aug;207;8;98;1;failure;1
29;management;0;tertiary;0;15459;0;0;cellular;26;may;245;3;97;7;success;0
51;blue-collar;1;secondary;0;160;1;0;cellular;7;may;136;1;359;1;failure;0
32;admin.;2;secondary;1;5;1;1;cellular;18;may;82;3;363;2;other;0
27;services;1;secondary;0;54;1;0;cellular;18;may;97;1;370;1;failure;0
35;blue-collar;1;primary;0;298;1;0;cellular;13;may;135;2;370;2;failure;0
43;blue-collar;1;primary;0;-98;1;1;cellular;12;may;112;2;330;3;other;0
41;blue-collar;1;secondary;0;-217;1;0;cellular;11;may;313;1;349;3;other;0
41;management;2;tertiary;0;5037;0;0;cellular;23;apr;252;9;185;5;other;1
32;management;1;tertiary;0;913;1;0;cellular;23;jun;883;1;674;4;failure;0
31;management;1;secondary;0;625;1;0;cellular;7;apr;424;1;138;1;failure;0
51;services;1;secondary;0;867;1;0;cellular;3;feb;177;2;211;3;failure;0
80;retired;1;secondary;0;8304;0;0;telephone;9;jun;712;1;64;12;failure;1
48;management;1;tertiary;0;60;0;0;telephone;7;may;376;2;339;7;failure;0
46;blue-collar;1;primary;0;91;1;0;cellular;6;may;29;1;356;2;failure;0
41;entrepreneur;1;tertiary;0;171;1;0;cellular;19;nov;209;1;191;4;failure;0
33;blue-collar;2;primary;0;142;1;0;telephone;11;may;41;2;300;5;failure;0
40;management;0;tertiary;0;1509;0;0;cellular;15;mar;144;2;124;1;failure;0
27;admin.;1;secondary;0;710;1;1;cellular;6;may;653;1;334;2;success;1
40;management;2;tertiary;0;69;1;0;cellular;6;may;503;2;280;2;failure;0
34;admin.;1;secondary;0;1499;1;0;cellular;13;apr;186;1;327;2;failure;0
83;retired;1;primary;0;425;0;0;telephone;22;jun;883;1;140;1;failure;1
29;admin.;0;secondary;0;1448;0;0;cellular;10;mar;217;1;184;7;other;0
45;self-employed;1;secondary;0;706;0;0;cellular;30;apr;78;2;176;1;success;0
46;admin.;1;secondary;0;368;0;0;cellular;20;aug;293;1;90;4;other;1
41;blue-collar;1;secondary;0;121;1;0;cellular;13;may;16;6;176;5;other;0
24;admin.;1;secondary;0;299;1;0;cellular;6;may;209;1;321;1;failure;0
50;services;1;secondary;0;254;1;0;cellular;15;apr;397;2;337;1;failure;0
25;management;0;tertiary;0;553;1;0;cellular;17;sep;113;4;479;1;failure;0
21;services;0;secondary;0;361;0;0;telephone;5;jun;329;1;95;1;other;0
34;technician;0;secondary;0;341;0;1;cellular;29;jan;136;1;262;3;failure;0
37;blue-collar;1;primary;0;37;1;0;cellular;13;may;24;2;362;1;other;0
